feature,variable,value
RP_pos_FT1364,comp1,21.7076208169092
RP_pos_FT1365,comp1,21.5955321161632
RP_pos_FT1371,comp1,21.5433643913577
HILIC_pos_FT198,comp1,9.12664460742499
