feature,variable,value
RP_neg_FT0658,comp1,15.2159639499497
RP_neg_FT0658,comp2,13.0039790660028
RP_neg_FT1620,comp1,12.1064368526016
RP_neg_FT1620,comp2,10.3464921389773
HILIC_neg_FT0499,comp1,10.137142995721
RP_neg_FT2253,comp1,9.48724231868013
HILIC_neg_FT0499,comp2,8.66347973345903
HILIC_neg_FT1090,comp1,8.37600856098079
RP_neg_FT2253,comp2,8.1080568350466
HILIC_neg_FT1119,comp1,8.09211847676871
RP_neg_FT0785,comp1,7.96702400735884
RP_neg_FT0094,comp1,7.73141674605646
HILIC_neg_FT0670,comp1,7.72358812550907
RP_neg_FT0779,comp1,7.65668185699693
HILIC_pos_FT057,comp2,7.65306708799038
RP_pos_FT0876,comp1,7.43261097355086
RP_neg_FT2236,comp1,7.39852881657758
RP_neg_FT1523,comp1,7.25659498768153
HILIC_neg_FT1090,comp2,7.15836606487324
HILIC_neg_FT1119,comp2,6.91574583231466
RP_pos_FT0805,comp1,6.83961369574871
RP_neg_FT0785,comp2,6.8088366764551
HILIC_pos_FT522,comp2,6.77110484934353
RP_neg_FT0094,comp2,6.60748026526404
HILIC_neg_FT0670,comp2,6.60078971197088
RP_neg_FT0779,comp2,6.54360978449615
RP_pos_FT0819,comp1,6.49121644268318
RP_pos_FT0518,comp1,6.45052150005825
RP_neg_FT1458,comp1,6.39646858800594
RP_pos_FT0876,comp2,6.35211267743031
RP_neg_FT2236,comp2,6.32298513367018
RP_neg_FT0254,comp1,6.29210958890706
RP_neg_FT1544,comp1,6.26506195815062
RP_neg_FT0613,comp1,6.26023698877278
RP_pos_FT0681,comp1,6.24633849551486
RP_neg_FT1523,comp2,6.20168460050692
RP_pos_FT0005,comp2,6.14615436649405
HILIC_neg_FT0941,comp1,5.96682782320049
RP_neg_FT2165,comp1,5.9636646433499
RP_neg_FT0960,comp1,5.9548216348757
HILIC_pos_FT522,comp1,5.85831197734484
RP_pos_FT0805,comp2,5.84532098075563
RP_neg_FT1785,comp1,5.81920494002673
RP_pos_FT0675,comp1,5.76444605168038
RP_neg_FT0667,comp1,5.70801998544218
HILIC_pos_FT186,comp1,5.6570641384795
HILIC_neg_FT0619,comp2,5.59413802101886
RP_pos_FT0819,comp2,5.54757115692459
RP_pos_FT0518,comp2,5.51279214563569
RP_neg_FT1458,comp2,5.4665970482303
RP_neg_FT0756,comp2,5.43414500016286
HILIC_pos_FT308,comp1,5.38494517568991
RP_neg_FT0254,comp2,5.37740899257411
RP_neg_FT1544,comp2,5.35429334736762
RP_neg_FT0613,comp2,5.35016979653706
RP_pos_FT0681,comp2,5.33829176396749
RP_neg_FT0768,comp2,5.21177166562001
HILIC_neg_FT0941,comp2,5.0994142966275
RP_neg_FT2165,comp2,5.09671095658974
RP_neg_FT0960,comp2,5.08915347962297
RP_neg_FT0259,comp1,4.99726999000348
RP_neg_FT1785,comp2,4.97325174203885
HILIC_neg_FT0325,comp1,4.93485534634818
RP_pos_FT0675,comp2,4.92645329797866
RP_neg_FT0720,comp2,4.90185789278562
RP_neg_FT0667,comp2,4.87823003808188
HILIC_pos_FT186,comp2,4.8346817772308
RP_neg_FT1278,comp2,4.77827020049982
HILIC_neg_FT0418,comp2,4.72100123101049
RP_pos_FT0402,comp2,4.70702017851079
RP_neg_FT0216,comp1,4.67931555022552
RP_pos_FT0233,comp1,4.65118373184522
HILIC_pos_FT308,comp2,4.60212146707116
RP_pos_FT2061,comp1,4.48495975300752
RP_neg_FT0440,comp1,4.45928007009554
RP_neg_FT1767,comp1,4.36558891416992
RP_neg_FT0259,comp2,4.27080364746685
HILIC_neg_FT0325,comp2,4.21746238547548
RP_neg_FT0249,comp1,4.18341489643757
RP_pos_FT1213,comp1,4.1738250603355
RP_pos_FT1892,comp1,4.16821625695425
RP_neg_FT0216,comp2,3.99907108471791
RP_neg_FT1445,comp2,3.9877317493325
RP_pos_FT0233,comp2,3.97502886310715
RP_pos_FT0938,comp1,3.88676761706285
RP_neg_FT1780,comp1,3.881369777955
RP_neg_FT1866,comp1,3.87597614727741
RP_pos_FT0600,comp2,3.86807474572174
HILIC_neg_FT0855,comp1,3.86132360622521
RP_pos_FT2061,comp2,3.83296930328017
RP_neg_FT0440,comp2,3.81102274372552
RP_neg_FT1767,comp2,3.73095171869326
HILIC_neg_FT0856,comp1,3.64505722129521
RP_neg_FT0249,comp2,3.5752608192699
HILIC_neg_FT0315,comp2,3.56717343198094
RP_pos_FT1213,comp2,3.56706508298083
RP_pos_FT1892,comp2,3.56227164616704
RP_neg_FT0616,comp1,3.38855992751307
RP_pos_FT0017,comp2,3.37578129757135
RP_neg_FT2046,comp2,3.3714569420473
RP_pos_FT1731,comp2,3.35227996171083
RP_pos_FT0938,comp2,3.32173793871732
RP_neg_FT1780,comp2,3.31712479774307
RP_neg_FT1866,comp2,3.31251525340846
HILIC_neg_FT0855,comp2,3.29999279096485
HILIC_pos_FT202,comp1,3.27134178631519
RP_neg_FT2047,comp2,3.24573823670095
RP_pos_FT0982,comp1,3.2285863912772
RP_pos_FT0092,comp2,3.14689850943418
HILIC_neg_FT0856,comp2,3.11516562184428
RP_neg_FT1962,comp2,3.10593286155224
RP_neg_FT0032,comp1,3.09720950985445
RP_neg_FT1969,comp2,3.09480932652615
RP_neg_FT1958,comp2,3.07799464998899
HILIC_neg_FT0466,comp1,3.07677653969322
RP_neg_FT0616,comp2,2.89595601739195
RP_pos_FT1059,comp1,2.87888018317023
RP_pos_FT0007,comp2,2.8473310744475
HILIC_neg_FT0672,comp2,2.82427212765844
RP_neg_FT0072,comp2,2.81070572342575
HILIC_neg_FT0556,comp1,2.79761146123401
HILIC_pos_FT202,comp2,2.79577818710089
HILIC_pos_FT203,comp1,2.79560124271496
HILIC_pos_FT365,comp2,2.78711247928769
RP_pos_FT0982,comp2,2.75923825681047
HILIC_pos_FT807,comp2,2.73504161967038
RP_neg_FT0586,comp2,2.69166600298777
RP_neg_FT0032,comp2,2.64695997977211
RP_neg_FT0064,comp1,2.63960471421623
HILIC_neg_FT0466,comp2,2.62949740447245
RP_neg_FT1663,comp1,2.61390307851009
RP_neg_FT0787,comp1,2.55767705144187
HILIC_pos_FT697,comp2,2.47141087559269
RP_pos_FT1059,comp2,2.46036976419097
HILIC_neg_FT0556,comp2,2.39091529109576
HILIC_pos_FT203,comp2,2.38919730335434
RP_neg_FT1693,comp2,2.36957324553228
HILIC_neg_FT0894,comp1,2.35915948924844
RP_pos_FT0996,comp2,2.34496253011891
RP_neg_FT1155,comp1,2.33928892639915
HILIC_neg_FT0580,comp2,2.32514738684843
RP_pos_FT0601,comp2,2.31388256054331
RP_neg_FT1736,comp1,2.29428726030185
RP_neg_FT0064,comp2,2.25587840238696
RP_neg_FT1663,comp2,2.23391308137384
HILIC_pos_FT697,comp1,2.21230784752497
RP_neg_FT1714,comp2,2.19479197219773
RP_neg_FT0787,comp2,2.18586078042435
RP_pos_FT0362,comp2,2.17900607169496
RP_pos_FT0957,comp1,2.17575196670326
HILIC_neg_FT0742,comp2,2.12871683428689
HILIC_neg_FT1123,comp2,2.12134473077197
RP_pos_FT0588,comp2,2.10201455001608
RP_neg_FT2252,comp1,2.09945204826614
RP_pos_FT1887,comp1,2.07879705614383
RP_neg_FT1912,comp2,2.07734450261478
RP_pos_FT1277,comp1,2.07594702513798
HILIC_neg_FT1003,comp2,2.04969753160051
RP_pos_FT0302,comp1,2.02597729129556
HILIC_pos_FT099,comp2,2.02008819440154
HILIC_neg_FT0894,comp2,2.01620224078212
RP_neg_FT1578,comp1,2.01429298606019
RP_neg_FT1155,comp2,1.99922031415744
HILIC_neg_FT1138,comp1,1.98491540836655
RP_pos_FT1909,comp1,1.96789999475856
RP_neg_FT1736,comp2,1.96076065916683
RP_pos_FT0393,comp2,1.93952962343715
RP_neg_FT0549,comp2,1.93151338002439
HILIC_neg_FT0336,comp1,1.90534982666352
RP_neg_FT2224,comp2,1.87875220800172
RP_pos_FT0957,comp2,1.85945715439981
