feature,variable,value
RP_pos_FT1743,comp2,1.81930253889455
RP_neg_FT2252,comp2,1.79424915671017
HILIC_neg_FT0849,comp2,1.77943459059661
RP_pos_FT1887,comp2,1.77659683536856
RP_pos_FT1277,comp2,1.77416112090055
RP_neg_FT2251,comp1,1.76268055722186
HILIC_neg_FT1137,comp1,1.7590416185071
HILIC_neg_FT0054,comp2,1.75169768684
RP_pos_FT0302,comp2,1.73145561929986
RP_neg_FT1578,comp2,1.72146989238954
RP_neg_FT1547,comp1,1.72052575832189
RP_pos_FT0538,comp2,1.70895092370213
RP_neg_FT1175,comp1,1.69931463989583
HILIC_neg_FT1138,comp2,1.69636301078844
HILIC_pos_FT214,comp2,1.68404430205983
RP_pos_FT1909,comp2,1.6818211728158
RP_pos_FT0772,comp1,1.68101178856483
HILIC_neg_FT0847,comp2,1.67318688240605
HILIC_neg_FT0336,comp2,1.62836408793058
RP_pos_FT1739,comp2,1.61083518027983
RP_pos_FT1838,comp2,1.58872471339664
RP_neg_FT0307,comp2,1.5468503598655
RP_neg_FT2251,comp2,1.50643502715705
HILIC_neg_FT1137,comp2,1.50332509057828
HILIC_neg_FT0879,comp2,1.48808520875518
RP_pos_FT1143,comp2,1.48636180604765
RP_neg_FT1547,comp2,1.47040838275714
RP_neg_FT1175,comp2,1.45228078066198
RP_pos_FT0772,comp2,1.43663866318987
HILIC_pos_FT632,comp2,1.38553902482225
RP_pos_FT1896,comp2,1.37593729286468
RP_pos_FT0327,comp2,1.3594312611986
HILIC_neg_FT0687,comp1,1.35172648926647
RP_pos_FT1195,comp1,1.28598224832667
RP_neg_FT0313,comp1,1.2605582053731
HILIC_pos_FT139,comp2,1.1986115828916
HILIC_neg_FT0687,comp2,1.1552224379081
RP_pos_FT1804,comp2,1.14600505095943
RP_pos_FT0529,comp2,1.1197739358878
RP_neg_FT0313,comp2,1.10390473164279
RP_neg_FT1944,comp1,1.10036127012995
RP_pos_FT1195,comp2,1.09903561098714
RP_pos_FT1470,comp2,1.0715040976308
HILIC_neg_FT0356,comp2,1.04747957260236
HILIC_pos_FT524,comp2,1.03286021014427
RP_pos_FT0354,comp2,1.00512698799685
HILIC_neg_FT1032,comp1,0.940509532810712
RP_neg_FT1944,comp2,0.940398844849879
HILIC_pos_FT472,comp1,0.933374046695964
HILIC_neg_FT0190,comp1,0.917657264237529
HILIC_neg_FT0608,comp1,0.900876581503583
RP_pos_FT1017,comp2,0.873853763678586
HILIC_neg_FT0744,comp2,0.850231952108316
RP_neg_FT0336,comp1,0.822009796552246
HILIC_neg_FT1032,comp2,0.803785176954695
HILIC_pos_FT472,comp2,0.797686995310262
HILIC_pos_FT639,comp2,0.789982682540783
HILIC_pos_FT128,comp2,0.789847223647304
HILIC_neg_FT0190,comp2,0.784255003045645
RP_pos_FT1706,comp2,0.780592816074982
HILIC_neg_FT0608,comp2,0.769913772499671
RP_pos_FT1899,comp1,0.767160173774026
HILIC_pos_FT587,comp2,0.753738566703484
RP_pos_FT1471,comp2,0.71234670225278
RP_neg_FT0336,comp2,0.702512060463311
RP_neg_FT0786,comp1,0.692093141070914
RP_neg_FT1857,comp1,0.677563880155694
RP_pos_FT1717,comp2,0.671808996151258
RP_pos_FT0943,comp2,0.657304198170691
RP_pos_FT1899,comp2,0.65563607227536
HILIC_neg_FT0224,comp1,0.644485073150277
RP_pos_FT0806,comp2,0.600499124985123
RP_neg_FT2097,comp2,0.598097446139798
RP_neg_FT0786,comp2,0.591481732462967
RP_neg_FT1857,comp2,0.579064628597086
HILIC_neg_FT0643,comp2,0.556456828812003
HILIC_neg_FT0224,comp2,0.550794575168876
RP_neg_FT2281,comp1,0.550468111566851
RP_pos_FT1088,comp2,0.549036673211704
HILIC_neg_FT1028,comp1,0.525618756375289
RP_pos_FT1665,comp2,0.522774465381217
RP_neg_FT0153,comp1,0.500097807608049
HILIC_neg_FT0384,comp2,0.488242226818539
RP_neg_FT1834,comp2,0.484628463355586
RP_pos_FT0258,comp2,0.478726336885773
RP_neg_FT2281,comp2,0.47044510770815
RP_neg_FT1716,comp2,0.469871495655875
RP_neg_FT1602,comp1,0.465899152228673
RP_neg_FT1790,comp2,0.464359880370374
HILIC_pos_FT616,comp2,0.457716277297727
RP_pos_FT1657,comp2,0.451897898693643
HILIC_neg_FT1028,comp2,0.449208168939259
HILIC_neg_FT1034,comp1,0.432797245836676
RP_pos_FT2043,comp1,0.429859925380327
RP_neg_FT0153,comp2,0.427397267927311
RP_pos_FT0119,comp1,0.410311130226346
RP_neg_FT1602,comp2,0.398170161442197
RP_neg_FT2259,comp2,0.375511802161301
HILIC_neg_FT1034,comp2,0.369880366646269
RP_pos_FT2043,comp2,0.367370052225825
RP_neg_FT2012,comp1,0.352966099176745
RP_pos_FT0119,comp2,0.350663117076391
HILIC_neg_FT0487,comp1,0.341444841584467
HILIC_neg_FT0201,comp2,0.316526815828587
RP_neg_FT2012,comp2,0.301654484710989
HILIC_neg_FT0487,comp2,0.291808102777066
HILIC_neg_FT0421,comp2,0.284634222923173
HILIC_neg_FT0416,comp1,0.250978059311933
RP_neg_FT0538,comp2,0.23224632742692
HILIC_neg_FT0416,comp2,0.214492715680309
RP_neg_FT1719,comp2,0.189552144079357
HILIC_pos_FT026,comp1,0.167344800688701
HILIC_pos_FT026,comp2,0.143017444844004
RP_pos_FT1610,comp2,0.141010321237294
RP_pos_FT1851,comp2,0.120249528877071
RP_neg_FT0872,comp2,0.118353137468049
RP_neg_FT0517,comp2,0.0893090613473376
RP_pos_FT1063,comp1,0.0833606324858311
HILIC_pos_FT275,comp2,0.0805357479997406
RP_pos_FT1063,comp2,0.0712422770808473
HILIC_neg_FT0065,comp2,0.0580025903026071
RP_pos_FT1840,comp2,0.0519392517824835
HILIC_neg_FT0845,comp2,0.0518688335727942
RP_neg_FT1885,comp2,0.0362826014825069
RP_neg_FT0517,comp1,0.00752494375415473
